annee,acteurs,nombre de participants
2020,sous-traitants,52
2020,acteurs internationaux,9
2020,secteur public,2
2020,acteurs de changement,19
2020,innovateurs sociaux,6
2020,distributeurs,1
2020,entrepreneurs,27
2021,sous-traitants,45
2021,acteurs internationaux,6
2021,secteur public,4
2021,acteurs de changement,17
2021,innovateurs sociaux,3
2021,distributeurs,1
2021,entrepreneurs,19
2022,sous-traitants,50
2022,acteurs internationaux,8
2022,secteur public,3
2022,acteurs de changement,18
2022,innovateurs sociaux,4
2022,distributeurs,1
2022,entrepreneurs,24
2023,sous-traitants,60
2023,acteurs internationaux,9
2023,secteur public,4
2023,acteurs de changement,21
2023,innovateurs sociaux,5
2023,distributeurs,0
2023,entrepreneurs,28
